School Name,District ID,School ID,NCES ID,Course ID,Course Name
Academy for Math Engineering & Science,110575,110575,00904,35020000007,Exploring Computer Science I  (CS)
Academy for Math Engineering & Science,110575,110575,00904,35020000030,Computer Programming I
Academy for Math Engineering & Science,110575,110575,00904,35020000034,A.P. Computer Science Principles
Albert R. Lyman Middle,880,889,00526,35020000003,Creative Coding
Alta High,186056,733,00659,35020000007,Exploring Computer Science I  (CS)
Alta High,186056,733,00659,35020000030,Computer Programming I
Alta High,186056,733,00659,35020000034,A.P. Computer Science Principles
Alta High,186056,733,00659,35020000035,Computer Science Principles
Alta High,186056,733,00659,35020013032,Computer Programming 2 CE
Alta High,186056,733,00659,38010000031,Robotics 1
American Academy of Innovation,186429,186430,01483,35020000003,Creative Coding
American Fork High,122,180,00002,35020000030,Computer Programming I
American Fork High,122,180,00002,35020000034,A.P. Computer Science Principles
American Fork High,122,180,00002,35020000035,Computer Science Principles
American Fork High,122,180,00002,35020000040,Computer Programming Advanced
American Fork High,122,180,00002,38010000031,Robotics 1
American Fork Jr High,122,168,00003,35020000007,Exploring Computer Science I  (CS)
American Leadership Academy,165615,165615,01056,35020000007,Exploring Computer Science I  (CS)
American Leadership Academy,165615,165615,01056,38010000031,Robotics 1
American Preparatory Academy - Draper #3,110573,186376,01471,35020000035,Computer Science Principles
Arizona State University Prep Digital Powered by Juab,765,186656,,35020000032,Computer Programming 2
Arizona State University Prep Digital Powered by Juab,765,186656,,35020000035,Computer Science Principles
Ascent Academies of Utah Farmington,186351,186352,01453,35020000003,Creative Coding
Athenian eAcademy,186387,186388,01473,35020000007,Exploring Computer Science I  (CS)
Athlos Academy of Utah,186444,186445,01503,35020000003,Creative Coding
Athlos Academy of Utah,186444,186445,01503,35020000007,Exploring Computer Science I  (CS)
Bear River High,205,235,00043,35020000030,Computer Programming I
Bear River High,205,235,00043,35020000035,Computer Science Principles
Bear River High,205,235,00043,38010000031,Robotics 1
Bear River Middle,205,233,00044,35020000007,Exploring Computer Science I  (CS)
Beaver High,197,202,00036,35020000004,Intro to Python 1
Beaver High,197,202,00036,35020000006,Intro to Python 2
Beehive Science & Technology Academy,165610,165610,01060,35020000003,Creative Coding
Beehive Science & Technology Academy,165610,165610,01060,35020000007,Exploring Computer Science I  (CS)
Beehive Science & Technology Academy,165610,165610,01060,35020000030,Computer Programming I
Beehive Science & Technology Academy,165610,165610,01060,35020000034,A.P. Computer Science Principles
Beehive Science & Technology Academy,165610,165610,01060,35020000035,Computer Science Principles
Ben Lomond High,1183,1208,01281,35020000030,Computer Programming I
Ben Lomond High,1183,1208,01281,35020013035,Computer Science Principles CE
Ben Lomond High,1183,1208,01281,38010000031,Robotics 1
Ben Lomond High,1183,1208,01281,38010000032,Robotics 2
Bingham High,653,735,00289,35020000007,Exploring Computer Science I  (CS)
Bingham High,653,735,00289,35020000030,Computer Programming I
Bingham High,653,735,00289,35020000040,Computer Programming Advanced
Bingham High,653,735,00289,35020013030,Computer Programming I CE
Bingham High,653,735,00289,35020013040,Computer Programming Advanced CE
Bingham High,653,735,00289,38010000031,Robotics 1
Blue Peak High,947,967,00698,35020000007,Exploring Computer Science I  (CS)
Blue Peak High,947,967,00698,35020000035,Computer Science Principles
Bonneville High,1050,1093,00613,35020000007,Exploring Computer Science I  (CS)
Bonneville High,1050,1093,00613,35020000032,Computer Programming 2
Bonneville High,1050,1093,00613,35020000035,Computer Science Principles
Bonneville High,1050,1093,00613,35020011035,Computer Science Principles UTech
Bonneville Jr High,480,553,00200,35020000003,Creative Coding
Bountiful High,308,390,00105,35020000007,Exploring Computer Science I  (CS)
Bountiful High,308,390,00105,35020000030,Computer Programming I
Bountiful High,308,390,00105,35020000040,Computer Programming Advanced
Bountiful High,308,390,00105,35020013030,Computer Programming I CE
Bountiful High,308,390,00105,35020013035,Computer Science Principles CE
Bountiful Jr High,308,360,00106,35020000003,Creative Coding
Bountiful Jr High,308,360,00106,35020000007,Exploring Computer Science I  (CS)
Box Elder High,205,236,00046,35020000030,Computer Programming I
Box Elder High,205,236,00046,35020000032,Computer Programming 2
Box Elder High,205,236,00046,35020000035,Computer Science Principles
Box Elder High,205,236,00046,38010000031,Robotics 1
Box Elder High,205,236,00046,38010000032,Robotics 2
Box Elder Middle,205,234,00047,35020000003,Creative Coding
Box Elder Middle,205,234,00047,35020000007,Exploring Computer Science I  (CS)
Brighton High,186056,736,00291,35020000007,Exploring Computer Science I  (CS)
Brighton High,186056,736,00291,35020000030,Computer Programming I
Brighton High,186056,736,00291,35020000034,A.P. Computer Science Principles
Brighton High,186056,736,00291,35020000041,A.P.  Computer Science
Brighton High,186056,736,00291,35020013032,Computer Programming 2 CE
Brighton High,186056,736,00291,38010000031,Robotics 1
Bryce Valley High,456,464,00184,35020000003,Creative Coding
Butler Middle,186056,713,00293,35020000003,Creative Coding
Canyon View High,635,651,00473,35020000035,Computer Science Principles
Canyon View High,635,651,00473,38010000031,Robotics 1
Canyon View Middle,635,185811,01122,35020000003,Creative Coding
Canyon View Middle,635,185811,01122,35020000004,Intro to Python 1
Canyon View Middle School,442,451,00174,35020000003,Creative Coding
Canyon View Middle School,442,451,00174,35020000004,Intro to Python 1
Carbon High,279,293,00089,35020000007,Exploring Computer Science I  (CS)
Carbon High,279,293,00089,35020000030,Computer Programming I
Carbon High,279,293,00089,38010000031,Robotics 1
Cedar City High,635,649,00278,35020000030,Computer Programming I
Cedar Middle,635,645,00280,35020000003,Creative Coding
Cedar Valley High,122,186536,01538,35020000007,Exploring Computer Science I  (CS)
Cedar Valley High,122,186536,01538,35020000030,Computer Programming I
Cedar Valley High,122,186536,01538,35020000037,Algorithms & Data Structures
Cedar Valley High,122,186536,01538,35020000040,Computer Programming Advanced
Cedar Valley High,122,186536,01538,35020013037,Algorithms & Data Structures CE
Cedar Valley High,122,186536,01538,35020013040,Computer Programming Advanced CE
