core_code,core_short_desc,grade_level,GradeRange,Enrolled,Male,Female,GenderOther,White,Asian,Black,Hispanic/Latino/Latina,Native American/Alaska Native,Native Hawaiian/Other Pacific Islander,Two or More Races,Race/Ethnicity not reported,Economically Disadvantaged,SPED,Serv504,EL
38010000032,Robotics 2,9-12 TOTAL,9-12,286,259,27,0,210,5,1,59,1,3,7,0,4,41,20,14
38010000031,Robotics 1,9-12 TOTAL,9-12,2653,2274,379,0,1852,62,33,569,24,27,86,0,4,410,141,214
35020013040,Computer Programming Advanced CE,10-12 TOTAL,9-12,201,174,27,0,168,5,1,20,0,0,7,0,2,3,10,0
35020013037,Algorithms & Data Structures CE,11-12 TOTAL,9-12,38,35,3,0,32,1,0,4,0,0,1,0,1,0,0,0
35020013035,Computer Science Principles CE,9-12 TOTAL,9-12,1057,711,346,0,773,25,10,195,5,9,40,0,4,57,44,42
35020013032,Computer Programming 2 CE,9-12 TOTAL,9-12,129,106,23,0,103,6,1,14,1,0,4,0,3,12,8,3
35020013030,Computer Programming I CE,10-12 TOTAL,9-12,599,483,116,0,494,13,10,60,1,6,15,0,3,28,18,7
35020011035,Computer Science Principles UTech,11-12 TOTAL,11-12,22,18,4,0,17,0,0,4,0,1,0,0,1,0,0,0
35020000053,IB Computer Science HL 2,11-12 TOTAL,11-12,30,23,7,0,14,12,1,2,0,0,1,0,1,0,0,1
35020000051,IB Computer Science SL 2,11-12 TOTAL,11-12,15,6,9,0,5,8,0,1,0,0,1,0,1,0,0,0
35020000041,A.P.  Computer Science,9-12 TOTAL,9-12,183,142,41,0,143,16,4,14,0,0,6,0,4,7,13,3
35020000040,Computer Programming Advanced,9-12 TOTAL,9-12,281,247,34,0,237,8,1,21,6,0,8,0,3,34,10,4
35020000037,Algorithms & Data Structures,10-12 TOTAL,10-12,22,21,1,0,20,1,0,0,0,0,1,0,1,9,2,0
35020000035,Computer Science Principles,9-12 TOTAL,9-12,2725,1866,857,2,1934,52,28,531,57,43,80,0,4,412,123,259
35020000034,A.P. Computer Science Principles,9-12 TOTAL,9-12,598,434,164,0,383,46,17,121,1,11,19,0,4,40,45,40
35020000032,Computer Programming 2,9-12 TOTAL,9-12,946,778,168,0,672,47,18,161,9,10,29,0,4,45,48,45
35020000030,Computer Programming I,9-12 TOTAL,9-12,5553,4329,1224,0,4088,195,68,909,52,55,187,0,4,486,283,279
35020000007,Exploring Computer Science I  (CS),9-12 TOTAL,9-12,13282,7541,5735,6,8979,319,211,3006,165,239,373,0,4,1677,415,1183
35020000006,Intro to Python 2,9-12 TOTAL,9-12,172,147,25,0,135,4,0,25,2,0,6,0,3,11,6,6
35020000004,Intro to Python 1,9-12 TOTAL,9-12,891,673,218,0,664,17,5,151,16,11,27,0,4,107,29,70
35020000003,Creative Coding,9-12 TOTAL,9-12,126,96,30,0,84,6,3,26,1,1,5,0,2,17,3,11
