School Year,LEA TYPE,LEA Name,Total HS,Female,Male,American Indian,AfAm/Black,Asian,Hispanic,Multiple Race,Pacific Islander,White,Economically Disadvantaged,English Learner,Student With a Disability,
2022,District,Alpine District,26927,13108,13818,80,189,230,3568,1155,387,21317,4778,1203,2743,
2022,District,Beaver District,467,216,251,3,1,1,87,6,3,366,176,17,67,
2022,District,Box Elder District,3880,1868,2011,25,15,14,459,68,13,3287,1142,132,433,
2022,District,Cache District,6642,3267,3375,49,33,48,641,148,39,5684,2076,249,794,
2022,District,Canyons District,11173,5444,5729,46,187,290,1975,614,120,7940,3340,969,1248,
2022,District,Carbon District,1058,504,554,10,3,3,144,12,2,884,406,23,160,
2022,District,Daggett District,65,30,35,1,0,0,2,1,0,60,14,0,11,
2022,District,Davis District,24090,11673,12417,88,265,265,2716,765,304,19687,3952,929,2899,
2022,District,Duchesne District,1584,776,808,89,8,4,160,62,4,1258,652,37,289,
2022,District,Emery District,694,325,369,4,1,1,66,6,1,617,349,12,135,
2022,District,Garfield District,317,154,163,9,1,1,30,5,1,270,76,13,30,
2022,District,Grand District,475,241,233,29,1,2,98,7,1,337,167,29,75,
2022,District,Granite District,20237,9854,10382,183,702,804,7831,435,885,9397,9752,5060,2414,
2022,District,Iron District,3345,1619,1726,55,17,27,374,73,21,2778,1023,98,332,
2022,District,Jordan District,19334,9463,9871,65,203,331,3405,868,384,14077,3043,1274,2296,
2022,District,Juab District,852,396,456,3,2,4,52,12,4,775,241,0,105,
2022,District,Kane District,435,216,219,8,2,3,29,10,0,384,105,6,52,
2022,District,Logan City District,1517,743,773,20,39,39,499,34,32,854,645,280,192,
2022,District,Millard District,957,460,497,8,2,7,156,20,0,764,363,66,140,
2022,District,Morgan District,1134,532,602,3,4,2,34,16,2,1073,113,1,121,
2022,District,Murray District,1908,941,965,17,70,36,409,100,26,1250,549,169,284,
2022,District,Nebo District,11224,5466,5758,32,61,35,1592,359,78,9068,2013,457,1407,
2022,District,North Sanpete District,828,404,424,9,1,1,135,13,5,663,418,52,101,
2022,District,North Summit District,330,157,173,1,2,0,55,2,0,270,54,23,43,
2022,District,Ogden City District,3334,1569,1764,24,51,21,1675,109,19,1435,2026,632,406,
