School Name,School Number (State),School Number (NCES),Lowest Grade Level Served,Highest Grade Level Served,District Name,District Number (State),District Number (NCES),Total HS,Total HS Female,Total HS American Indian or Alaska Native,Total HS Asian,Total HS Black or African American,Total HS Hispanic or Latino,Total HS Native Hawaiian or Pacific Islander,Total HS Two or more races,Total HS White,Total HS Disability,Total HS Eco. Dis.,Total HS Eng. Learners,CSB Offer,CSB Total,CSB Female,CSB American Indian or Alaska Native,CSB Asian,CSB Black or African American,CSB Hispanic or Latino,CSB Native Hawaiian or Pacific Islander,CSB Two or more races,CSB White,CSB Disability,CSB Eco. Dis.,CSB Eng. Learners,CSA Offer,CSA Total,CSA Female,CSA American Indian or Alaska Native,CSA Asian,CSA Black or African American,CSA Hispanic or Latino,CSA Native Hawaiian or Pacific Islander,CSA Two or more races,CSA White,CSA Disability,CSA Eco. Dis.,CSA Eng. Learners,CSR Offer,CSR Total,CSR Female,CSR American Indian or Alaska Native,CSR Asian,CSR Black or African American,CSR Hispanic or Latino,CSR Native Hawaiian or Pacific Islander,CSR Two or more races,CSR White,CSR Disability,CSR Eco. Dis.,CSR Eng. Learners
Academy for Math Engineering & Science,700,904,9,12,Academy for Math Engineering & Science,83,4900017,342,155,n<10,44,12,67,27,18,201,30,96,n<10,3,186,79,n<10,24,n<10,34,13,n<10,105,16,45,n<10,1,17,n<10,n<10,n<10,n<10,n<10,n<10,n<10,11,n<10,n<10,n<10,4,139,71,n<10,17,n<10,32,14,n<10,85,11,49,n<10
Alta High,702,659,9,12,Canyons District,42,4900142,556,173,n<10,19,n<10,77,n<10,37,427,57,123,22,4,229,55,n<10,10,n<10,37,n<10,15,175,30,53,11,1,30,n<10,n<10,n<10,n<10,n<10,n<10,n<10,24,n<10,n<10,n<10,3,297,116,n<10,n<10,n<10,38,n<10,19,228,24,65,10
American Academy of Innovation,700,1483,9,12,American Academy of Innovation,8K,4900186,65,n<10,n<10,n<10,n<10,10,n<10,n<10,52,13,n<10,n<10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,65,n<10,n<10,n<10,n<10,10,n<10,n<10,52,13,n<10,n<10
American Fork High,704,2,10,12,Alpine District,1,4900030,620,153,n<10,11,n<10,75,n<10,26,562,48,78,12,3,215,56,n<10,n<10,n<10,30,n<10,10,179,15,27,n<10,2,90,12,n<10,n<10,n<10,n<10,n<10,n<10,81,n<10,n<10,n<10,12,315,85,n<10,n<10,n<10,39,n<10,15,302,27,44,n<10
American Fork Jr High,404,3,9,9,Alpine District,1,4900030,142,50,n<10,n<10,n<10,17,n<10,n<10,128,10,12,n<10,1,40,10,n<10,n<10,n<10,n<10,n<10,n<10,35,n<10,n<10,n<10,,,,,,,,,,,,,,2,102,40,n<10,n<10,n<10,13,n<10,n<10,93,n<10,n<10,n<10
American Leadership Academy,100,1056,9,12,American Leadership Academy,8B,4900033,74,16,n<10,n<10,n<10,20,n<10,n<10,50,11,12,n<10,1,35,n<10,n<10,n<10,n<10,10,n<10,n<10,23,n<10,n<10,n<10,,,,,,,,,,,,,,1,39,n<10,n<10,n<10,n<10,10,n<10,n<10,27,n<10,n<10,n<10
American Preparatory Academy - Draper #3,700,1471,9,12,American Preparatory Academy,74,4900005,46,23,n<10,n<10,n<10,16,n<10,n<10,23,n<10,15,n<10,1,46,23,n<10,n<10,n<10,16,n<10,n<10,23,n<10,15,n<10,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascent Academies of Utah Farmington,300,1453,9,9,Ascent Academies of Utah,2J,4900174,28,13,n<10,n<10,n<10,n<10,n<10,n<10,19,n<10,n<10,n<10,1,22,11,n<10,n<10,n<10,n<10,n<10,n<10,15,n<10,n<10,n<10,,,,,,,,,,,,,,1,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10
Ascent Academies of Utah Lehi,320,1490,9,9,Ascent Academies of Utah,2J,4900174,28,13,n<10,n<10,n<10,n<10,n<10,n<10,23,n<10,n<10,n<10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,13,n<10,n<10,n<10,n<10,n<10,n<10,23,n<10,n<10,n<10
Athenian eAcademy,300,1473,9,12,Athenian eAcademy,4K,4900181,14,n<10,n<10,n<10,n<10,n<10,n<10,n<10,12,n<10,n<10,n<10,1,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,,,,,,,,,,,,,,1,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10
Athlos Academy of Utah,300,1503,9,9,Athlos Academy of Utah,1L,4900189,20,n<10,n<10,n<10,n<10,n<10,n<10,n<10,14,n<10,n<10,n<10,1,10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,,,,,,,,,,,,,,1,10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10
Basin Online School,800,1618,9,11,Duchesne District,8,4900240,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10
Bear River High,704,43,10,12,Box Elder District,3,4900090,264,61,n<10,n<10,n<10,32,n<10,n<10,236,24,47,11,2,177,40,n<10,n<10,n<10,25,n<10,n<10,160,15,32,10,1,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,4,83,21,n<10,n<10,n<10,n<10,n<10,n<10,73,n<10,14,n<10
Bear River Middle,404,44,9,9,Box Elder District,3,4900090,146,46,n<10,n<10,n<10,12,n<10,n<10,126,15,39,n<10,1,79,21,n<10,n<10,n<10,n<10,n<10,n<10,70,n<10,23,n<10,,,,,,,,,,,,,,1,67,25,n<10,n<10,n<10,n<10,n<10,n<10,56,n<10,16,n<10
Beaver High,704,36,9,12,Beaver District,2,4900060,16,n<10,n<10,n<10,n<10,n<10,n<10,n<10,12,n<10,n<10,n<10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,n<10,n<10,n<10,n<10,n<10,n<10,n<10,12,n<10,n<10,n<10
Beehive Science & Technology Academy,700,1060,9,12,Beehive Science & Technology Academy,3B,4900023,109,29,n<10,30,n<10,n<10,n<10,n<10,77,14,25,n<10,3,88,27,n<10,28,n<10,n<10,n<10,n<10,57,12,19,n<10,,,,,,,,,,,,,,2,21,n<10,n<10,n<10,n<10,n<10,n<10,n<10,20,n<10,n<10,n<10
Ben Lomond High,703,1281,10,12,Ogden City District,37,4900720,380,99,n<10,n<10,n<10,267,n<10,n<10,160,55,312,75,2,114,35,n<10,n<10,n<10,64,n<10,n<10,45,12,76,19,1,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,n<10,4,260,64,n<10,n<10,n<10,199,n<10,n<10,113,43,231,54
Bingham High,704,289,10,12,Jordan District,14,4900420,431,112,n<10,23,n<10,52,12,20,330,36,43,18,2,180,49,n<10,n<10,n<10,21,n<10,n<10,140,n<10,17,n<10,1,49,n<10,n<10,n<10,n<10,n<10,n<10,n<10,35,n<10,n<10,n<10,2,202,57,n<10,11,n<10,25,n<10,n<10,155,25,24,11
