School Year,LEA TYPE,LEA Name,School Name,Total K-12,K,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Female,Male,American Indian,AfAm/Black,Asian,Hispanic,Multiple Race,Pacific Islander,White,Economically Disadvantaged,English Learner,Student With a Disability,Homeless,Preschool
2022,District,Alpine District,Alpine Online School,280,24,26,29,41,31,36,35,24,34,0,0,0,0,138,142,0,1,3,38,19,5,214,47,13,17,2,0
2022,District,Alpine District,Alpine School,621,53,86,95,105,75,114,93,0,0,0,0,0,0,283,338,0,1,12,33,33,3,539,57,6,46,0,46
2022,District,Alpine District,American Fork High,2475,0,0,0,0,0,0,0,0,0,75,795,819,786,1206,1269,8,10,20,223,95,26,2093,279,25,176,2,0
2022,District,Alpine District,American Fork Jr High,1973,0,0,0,0,0,0,1,649,637,686,0,0,0,983,990,11,14,13,219,61,20,1635,307,78,175,1,0
2022,District,Alpine District,Aspen School,380,48,51,55,54,51,51,70,0,0,0,0,0,0,189,191,1,2,3,43,22,8,301,81,20,43,1,1
2022,District,Alpine District,Barratt School,528,70,61,81,70,76,93,77,0,0,0,0,0,0,238,290,2,3,3,42,28,4,446,95,20,60,0,34
2022,District,Alpine District,Belmont School,952,147,156,147,142,145,97,118,0,0,0,0,0,0,487,465,4,8,13,98,43,21,765,155,19,89,1,43
2022,District,Alpine District,Black Ridge School,1182,178,167,159,170,170,163,175,0,0,0,0,0,0,599,583,6,12,3,72,32,14,1043,113,12,87,0,8
2022,District,Alpine District,Bonneville School,512,72,69,73,69,76,72,81,0,0,0,0,0,0,243,269,3,2,4,141,24,25,313,210,74,73,1,52
2022,District,Alpine District,Brookhaven School,943,174,148,144,135,123,115,104,0,0,0,0,0,0,473,470,0,6,9,85,49,9,785,140,16,103,0,54
2022,District,Alpine District,Canyon View Jr High,1193,0,0,0,0,0,0,0,371,407,415,0,0,0,556,637,7,11,13,314,41,28,779,369,140,106,0,0
2022,District,Alpine District,Cascade School,702,74,99,94,119,99,117,100,0,0,0,0,0,0,319,383,1,4,22,74,54,18,529,164,34,57,0,29
2022,District,Alpine District,Cedar Ridge School,716,85,98,95,104,96,129,109,0,0,0,0,0,0,371,345,4,1,8,32,36,4,631,78,2,80,0,1
2022,District,Alpine District,Cedar Valley High,2683,0,0,0,0,0,0,0,0,2,757,714,627,583,1314,1369,7,20,11,375,122,41,2107,516,60,256,9,0
2022,District,Alpine District,Cedar Valley School,103,14,12,14,20,15,16,12,0,0,0,0,0,0,48,55,0,0,0,11,1,0,91,20,3,11,0,1
2022,District,Alpine District,Centennial Elementary,740,117,102,111,88,98,113,111,0,0,0,0,0,0,334,406,2,10,6,156,37,19,510,222,75,138,1,45
2022,District,Alpine District,Central School,477,65,68,62,73,59,62,88,0,0,0,0,0,0,227,250,0,2,1,71,17,2,384,154,51,48,1,39
2022,District,Alpine District,Cherry Hill School,687,101,104,96,111,83,98,94,0,0,0,0,0,0,327,360,2,3,2,254,42,20,364,326,126,69,1,41
2022,District,Alpine District,Dan W. Peterson,221,3,4,3,4,7,2,6,5,4,8,7,9,159,77,144,1,5,5,33,5,8,164,77,12,221,1,15
2022,District,Alpine District,Deerfield School,554,64,66,75,86,83,88,92,0,0,0,0,0,0,276,278,1,2,4,32,19,8,488,50,3,39,0,56
2022,District,Alpine District,Dry Creek School,1049,173,147,135,154,144,155,141,0,0,0,0,0,0,533,516,3,3,6,91,37,15,894,125,22,72,0,49
2022,District,Alpine District,Eagle Valley School,854,135,137,122,132,114,108,106,0,0,0,0,0,0,408,446,0,10,7,149,40,20,628,260,28,121,1,73
2022,District,Alpine District,Eaglecrest School,838,97,103,121,120,129,122,146,0,0,0,0,0,0,411,427,3,3,3,49,37,7,736,80,3,99,0,45
2022,District,Alpine District,Foothill School,561,53,75,80,79,102,91,81,0,0,0,0,0,0,256,305,0,1,8,45,19,8,480,82,16,82,0,34
2022,District,Alpine District,Forbes School,411,61,49,55,66,61,55,64,0,0,0,0,0,0,205,206,2,5,3,69,30,9,293,133,18,68,2,1
2022,District,Alpine District,Fox Hollow School,738,109,122,97,114,98,97,101,0,0,0,0,0,0,353,385,1,7,5,66,31,7,621,84,24,83,3,44
2022,District,Alpine District,Freedom School,773,98,94,93,114,119,121,134,0,0,0,0,0,0,367,406,2,4,3,28,19,2,715,77,2,75,0,39
2022,District,Alpine District,Frontier Middle School,1582,0,0,0,0,0,0,0,776,806,0,0,0,0,782,800,7,7,13,188,76,27,1264,344,42,183,1,0
2022,District,Alpine District,Greenwood School,780,138,118,114,91,128,94,97,0,0,0,0,0,0,389,391,5,9,10,165,46,14,531,284,99,111,3,71
2022,District,Alpine District,Grovecrest School,635,82,79,92,91,85,108,98,0,0,0,0,0,0,296,339,1,2,1,47,29,3,552,127,10,84,0,3
2022,District,Alpine District,Harbor Point Elementary,635,82,106,89,88,86,93,91,0,0,0,0,0,0,313,322,0,9,7,58,23,11,527,86,7,84,0,49
2022,District,Alpine District,Harvest School,1017,196,138,128,156,130,135,134,0,0,0,0,0,0,528,489,1,6,14,186,50,17,743,113,24,93,0,47
2022,District,Alpine District,Hidden Hollow School,1044,146,168,143,137,151,143,156,0,0,0,0,0,0,520,524,4,6,1,137,36,15,845,238,31,102,0,52
2022,District,Alpine District,Highland School,725,90,76,79,110,117,112,141,0,0,0,0,0,0,323,402,4,2,18,22,34,4,641,70,3,80,0,2
2022,District,Alpine District,Horizon School,134,6,1,2,4,4,2,8,6,4,5,4,3,85,52,82,0,1,5,16,3,3,106,27,6,134,0,4
2022,District,Alpine District,Lake Mountain Middle,1361,0,0,0,0,0,0,0,463,458,440,0,0,0,648,713,1,11,3,111,85,22,1128,184,23,125,0,0
2022,District,Alpine District,Lakeridge Jr High,1347,0,0,0,0,0,0,0,478,448,421,0,0,0,663,684,8,22,7,380,54,19,857,434,196,129,2,0
2022,District,Alpine District,Legacy School,738,88,108,112,120,118,92,100,0,0,0,0,0,0,353,385,0,2,0,69,35,1,631,75,5,58,0,69
2022,District,Alpine District,Lehi High,1862,0,0,0,0,0,0,0,0,0,44,664,622,532,971,891,6,11,9,173,67,13,1583,182,23,121,0,0
2022,District,Alpine District,Lehi Jr High,1003,0,0,0,0,0,0,0,354,328,321,0,0,0,492,511,2,9,4,63,41,9,875,136,21,78,0,0
2022,District,Alpine District,Lehi School,522,59,81,78,63,74,82,85,0,0,0,0,0,0,236,286,2,5,3,62,17,5,428,114,38,60,0,17
2022,District,Alpine District,Liberty Hills Elementary,611,118,100,104,79,74,72,64,0,0,0,0,0,0,298,313,0,6,13,75,38,11,468,78,24,56,0,47
